BASE_URL_1,BASE_URL_2,BASE_URL_3,CATALOG_ID,,,USERNAME,PASSWORD
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain1,@certaindevoutlook.onmicrosoft.com,Certain1@certaindevoutlook.onmicrosoft.com,Niatrec1
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain2,@certaindevoutlook.onmicrosoft.com,Certain2@certaindevoutlook.onmicrosoft.com,Niatrec2
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain3,@certaindevoutlook.onmicrosoft.com,Certain3@certaindevoutlook.onmicrosoft.com,Niatrec3
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain4,@certaindevoutlook.onmicrosoft.com,Certain4@certaindevoutlook.onmicrosoft.com,Niatrec4
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain5,@certaindevoutlook.onmicrosoft.com,Certain5@certaindevoutlook.onmicrosoft.com,Niatrec5
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain6,@certaindevoutlook.onmicrosoft.com,Certain6@certaindevoutlook.onmicrosoft.com,Niatrec6
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain7,@certaindevoutlook.onmicrosoft.com,Certain7@certaindevoutlook.onmicrosoft.com,Niatrec7
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain8,@certaindevoutlook.onmicrosoft.com,Certain8@certaindevoutlook.onmicrosoft.com,Niatrec8
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain9,@certaindevoutlook.onmicrosoft.com,Certain9@certaindevoutlook.onmicrosoft.com,Niatrec9
qaautomation8.certain.com,ssodev.certain.com,login.microsoftonline.com,1AFFA61C-9C32-4841-90F4-F626B964E775,Certain10,@certaindevoutlook.onmicrosoft.com,Certain10@certaindevoutlook.onmicrosoft.com,Niatrec10
